[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-29-51_RAW_Dark_015
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:29:51
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = DARK
Mission = 1 ; 12.0534 ;  ; 
[Attributes]
SpectrumType = RAW_Dark
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 25.75
lampLEDs = 0
tempLampModule = 25.75
tempSpectrometer = 26.9375
tempMainCPU = 28.5625
Deviation = 12.0534
Maximum = 1262
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 9 0 0
306.481 1248 0 0
309.843 1230 0 0
313.205 1230 0 0
316.569 1243 0 0
319.934 1242 0 0
323.299 1238 0 0
326.665 1234 0 0
330.032 1248 0 0
333.4 1246 0 0
336.768 1236 0 0
340.137 1242 0 0
343.507 1244 0 0
346.877 1239 0 0
350.249 1232 0 0
353.621 1241 0 0
356.993 1246 0 0
360.367 1231 0 0
363.741 1221 0 0
367.115 1228 0 0
370.491 1213 0 0
373.867 1214 0 0
377.243 1223 0 0
380.621 1246 0 0
383.998 1236 0 0
387.377 1236 0 0
390.756 1242 0 0
394.135 1228 0 0
397.516 1219 0 0
400.896 1217 0 0
404.278 1228 0 0
407.659 1220 0 0
411.042 1224 0 0
414.424 1239 0 0
417.808 1234 0 0
421.192 1228 0 0
424.576 1236 0 0
427.961 1238 0 0
431.346 1226 0 0
434.731 1224 0 0
438.118 1228 0 0
441.504 1215 0 0
444.891 1206 0 0
448.278 1220 0 0
451.666 1227 0 0
455.054 1213 0 0
458.443 1219 0 0
461.832 1229 0 0
465.221 1215 0 0
468.61 1223 0 0
472 1236 0 0
475.39 1232 0 0
478.781 1238 0 0
482.172 1242 0 0
485.563 1237 0 0
488.954 1234 0 0
492.346 1241 0 0
495.738 1253 0 0
499.13 1234 0 0
502.522 1240 0 0
505.915 1248 0 0
509.308 1241 0 0
512.701 1232 0 0
516.094 1239 0 0
519.488 1242 0 0
522.881 1228 0 0
526.275 1224 0 0
529.669 1238 0 0
533.063 1224 0 0
536.457 1226 0 0
539.851 1236 0 0
543.246 1225 0 0
546.64 1225 0 0
550.035 1233 0 0
553.43 1237 0 0
556.824 1219 0 0
560.219 1223 0 0
563.614 1234 0 0
567.009 1226 0 0
570.404 1225 0 0
573.799 1241 0 0
577.194 1231 0 0
580.589 1230 0 0
583.984 1238 0 0
587.379 1231 0 0
590.773 1230 0 0
594.168 1236 0 0
597.563 1246 0 0
600.958 1228 0 0
604.352 1235 0 0
607.747 1250 0 0
611.141 1240 0 0
614.536 1234 0 0
617.93 1243 0 0
621.324 1246 0 0
624.718 1232 0 0
628.111 1246 0 0
631.505 1244 0 0
634.898 1239 0 0
638.292 1240 0 0
641.685 1251 0 0
645.078 1243 0 0
648.47 1238 0 0
651.863 1247 0 0
655.255 1252 0 0
658.647 1240 0 0
662.038 1246 0 0
665.43 1252 0 0
668.821 1249 0 0
672.211 1246 0 0
675.602 1257 0 0
678.992 1246 0 0
682.382 1245 0 0
685.772 1252 0 0
689.161 1254 0 0
692.55 1239 0 0
695.938 1246 0 0
699.326 1258 0 0
702.714 1248 0 0
706.101 1245 0 0
709.488 1254 0 0
712.875 1253 0 0
716.261 1246 0 0
719.646 1246 0 0
723.031 1254 0 0
726.416 1242 0 0
729.8 1246 0 0
733.184 1259 0 0
736.567 1246 0 0
739.95 1242 0 0
743.332 1251 0 0
746.714 1257 0 0
750.095 1249 0 0
753.476 1248 0 0
756.856 1255 0 0
760.235 1246 0 0
763.614 1251 0 0
766.993 1253 0 0
770.371 1251 0 0
773.748 1250 0 0
777.124 1250 0 0
780.5 1252 0 0
783.876 1245 0 0
787.25 1246 0 0
790.624 1254 0 0
793.997 1252 0 0
797.37 1244 0 0
800.742 1251 0 0
804.113 1252 0 0
807.484 1243 0 0
810.853 1251 0 0
814.222 1253 0 0
817.591 1247 0 0
820.958 1242 0 0
824.325 1252 0 0
827.691 1251 0 0
831.056 1240 0 0
834.421 1248 0 0
837.784 1262 0 0
841.147 1242 0 0
844.509 1243 0 0
847.87 1257 0 0
851.231 1249 0 0
854.59 1241 0 0
857.949 1250 0 0
861.306 1257 0 0
864.663 1244 0 0
868.019 1244 0 0
871.374 1256 0 0
874.728 1239 0 0
878.081 1240 0 0
881.433 1246 0 0
884.784 1246 0 0
888.135 1241 0 0
891.484 1244 0 0
894.832 1255 0 0
898.179 1242 0 0
901.526 1244 0 0
904.871 1250 0 0
908.215 1241 0 0
911.558 1242 0 0
914.9 1244 0 0
918.241 1244 0 0
921.581 1241 0 0
924.92 1247 0 0
928.258 1256 0 0
931.595 1249 0 0
934.93 1246 0 0
938.265 1249 0 0
941.598 1250 0 0
944.93 1241 0 0
948.261 1245 0 0
951.591 1253 0 0
954.92 1244 0 0
958.247 1235 0 0
961.574 1250 0 0
964.899 1252 0 0
968.223 1238 0 0
971.545 1247 0 0
974.867 1252 0 0
978.187 1238 0 0
981.506 1245 0 0
984.823 1254 0 0
988.14 1249 0 0
991.455 1237 0 0
994.768 1246 0 0
998.081 1246 0 0
1001.39 1240 0 0
1004.7 1246 0 0
1008.01 1252 0 0
1011.32 1240 0 0
1014.62 1241 0 0
1017.93 1256 0 0
1021.23 1247 0 0
1024.53 1238 0 0
1027.83 1241 0 0
1031.13 1254 0 0
1034.43 1243 0 0
1037.72 1241 0 0
1041.02 1255 0 0
1044.31 1249 0 0
1047.6 1238 0 0
1050.89 1246 0 0
1054.18 1242 0 0
1057.47 1240 0 0
1060.75 1239 0 0
1064.04 1256 0 0
1067.32 1241 0 0
1070.6 1244 0 0
1073.88 1255 0 0
1077.16 1246 0 0
1080.43 1242 0 0
1083.71 1247 0 0
1086.98 1254 0 0
1090.25 1238 0 0
1093.52 1245 0 0
1096.79 1252 0 0
1100.06 1242 0 0
1103.32 1241 0 0
1106.58 1248 0 0
1109.85 1255 0 0
1113.11 1236 0 0
1116.36 1238 0 0
1119.62 1247 0 0
1122.87 1235 0 0
1126.13 1242 0 0
1129.38 1246 0 0
1132.63 1244 0 0
1135.88 1237 0 0
1139.12 1247 0 0
1142.37 1248 0 0
1145.61 1243 0 0
1148.85 1239 0 0
1152.09 1252 0 0
1155.32 1236 0 0
1158.56 1245 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-30-12_RAW_Dark_602
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:30:12
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = DARK
Mission = 1 ; 9.48683 ;  ; 
[Attributes]
SpectrumType = RAW_Dark
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 26.1875
lampLEDs = 0
tempLampModule = 26.1875
tempSpectrometer = 27
tempMainCPU = 28.625
Deviation = 9.48683
Maximum = 1263
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 9 0 0
306.481 1240 0 0
309.843 1238 0 0
313.205 1239 0 0
316.569 1237 0 0
319.934 1239 0 0
323.299 1244 0 0
326.665 1244 0 0
330.032 1234 0 0
333.4 1240 0 0
336.768 1247 0 0
340.137 1244 0 0
343.507 1240 0 0
346.877 1239 0 0
350.249 1245 0 0
353.621 1236 0 0
356.993 1233 0 0
360.367 1240 0 0
363.741 1235 0 0
367.115 1224 0 0
370.491 1221 0 0
373.867 1230 0 0
377.243 1225 0 0
380.621 1233 0 0
383.998 1244 0 0
387.377 1243 0 0
390.756 1237 0 0
394.135 1232 0 0
397.516 1237 0 0
400.896 1221 0 0
404.278 1220 0 0
407.659 1235 0 0
411.042 1236 0 0
414.424 1232 0 0
417.808 1235 0 0
421.192 1241 0 0
424.576 1237 0 0
427.961 1235 0 0
431.346 1240 0 0
434.731 1229 0 0
438.118 1223 0 0
441.504 1225 0 0
444.891 1235 0 0
448.278 1217 0 0
451.666 1226 0 0
455.054 1239 0 0
458.443 1224 0 0
461.832 1224 0 0
465.221 1235 0 0
468.61 1235 0 0
472 1228 0 0
475.39 1239 0 0
478.781 1249 0 0
482.172 1235 0 0
485.563 1240 0 0
488.954 1257 0 0
492.346 1251 0 0
495.738 1238 0 0
499.13 1250 0 0
502.522 1254 0 0
505.915 1237 0 0
509.308 1248 0 0
512.701 1246 0 0
516.094 1240 0 0
519.488 1231 0 0
522.881 1246 0 0
526.275 1234 0 0
529.669 1238 0 0
533.063 1241 0 0
536.457 1233 0 0
539.851 1228 0 0
543.246 1238 0 0
546.64 1242 0 0
550.035 1234 0 0
553.43 1231 0 0
556.824 1246 0 0
560.219 1229 0 0
563.614 1230 0 0
567.009 1241 0 0
570.404 1238 0 0
573.799 1233 0 0
577.194 1240 0 0
580.589 1246 0 0
583.984 1236 0 0
587.379 1235 0 0
590.773 1247 0 0
594.168 1241 0 0
597.563 1235 0 0
600.958 1250 0 0
604.352 1252 0 0
607.747 1239 0 0
611.141 1247 0 0
614.536 1253 0 0
617.93 1238 0 0
621.324 1245 0 0
624.718 1255 0 0
628.111 1247 0 0
631.505 1242 0 0
634.898 1262 0 0
638.292 1252 0 0
641.685 1243 0 0
645.078 1246 0 0
648.47 1254 0 0
651.863 1243 0 0
655.255 1248 0 0
658.647 1256 0 0
662.038 1248 0 0
665.43 1246 0 0
668.821 1256 0 0
672.211 1256 0 0
675.602 1245 0 0
678.992 1254 0 0
682.382 1263 0 0
685.772 1246 0 0
689.161 1248 0 0
692.55 1255 0 0
695.938 1253 0 0
699.326 1248 0 0
702.714 1259 0 0
706.101 1260 0 0
709.488 1251 0 0
712.875 1249 0 0
716.261 1262 0 0
719.646 1244 0 0
723.031 1249 0 0
726.416 1258 0 0
729.8 1251 0 0
733.184 1243 0 0
736.567 1246 0 0
739.95 1257 0 0
743.332 1245 0 0
746.714 1252 0 0
750.095 1257 0 0
753.476 1253 0 0
756.856 1244 0 0
760.235 1252 0 0
763.614 1253 0 0
766.993 1241 0 0
770.371 1247 0 0
773.748 1258 0 0
777.124 1244 0 0
780.5 1247 0 0
783.876 1257 0 0
787.25 1254 0 0
790.624 1248 0 0
793.997 1252 0 0
797.37 1253 0 0
800.742 1250 0 0
804.113 1246 0 0
807.484 1254 0 0
810.853 1254 0 0
814.222 1245 0 0
817.591 1250 0 0
820.958 1253 0 0
824.325 1240 0 0
827.691 1246 0 0
831.056 1261 0 0
834.421 1250 0 0
837.784 1248 0 0
841.147 1257 0 0
844.509 1252 0 0
847.87 1251 0 0
851.231 1250 0 0
854.59 1254 0 0
857.949 1244 0 0
861.306 1247 0 0
864.663 1252 0 0
868.019 1253 0 0
871.374 1246 0 0
874.728 1248 0 0
878.081 1252 0 0
881.433 1247 0 0
884.784 1242 0 0
888.135 1256 0 0
891.484 1244 0 0
894.832 1247 0 0
898.179 1255 0 0
901.526 1253 0 0
904.871 1241 0 0
908.215 1244 0 0
911.558 1257 0 0
914.9 1248 0 0
918.241 1245 0 0
921.581 1251 0 0
924.92 1247 0 0
928.258 1245 0 0
931.595 1252 0 0
934.93 1253 0 0
938.265 1240 0 0
941.598 1244 0 0
944.93 1250 0 0
948.261 1244 0 0
951.591 1235 0 0
954.92 1256 0 0
958.247 1248 0 0
961.574 1242 0 0
964.899 1247 0 0
968.223 1255 0 0
971.545 1249 0 0
974.867 1240 0 0
978.187 1255 0 0
981.506 1250 0 0
984.823 1241 0 0
988.14 1250 0 0
991.455 1253 0 0
994.768 1246 0 0
998.081 1248 0 0
1001.39 1252 0 0
1004.7 1242 0 0
1008.01 1244 0 0
1011.32 1250 0 0
1014.62 1251 0 0
1017.93 1242 0 0
1021.23 1249 0 0
1024.53 1253 0 0
1027.83 1246 0 0
1031.13 1240 0 0
1034.43 1250 0 0
1037.72 1244 0 0
1041.02 1243 0 0
1044.31 1245 0 0
1047.6 1256 0 0
1050.89 1241 0 0
1054.18 1246 0 0
1057.47 1253 0 0
1060.75 1246 0 0
1064.04 1242 0 0
1067.32 1246 0 0
1070.6 1259 0 0
1073.88 1242 0 0
1077.16 1241 0 0
1080.43 1254 0 0
1083.71 1244 0 0
1086.98 1248 0 0
1090.25 1255 0 0
1093.52 1249 0 0
1096.79 1244 0 0
1100.06 1246 0 0
1103.32 1252 0 0
1106.58 1239 0 0
1109.85 1244 0 0
1113.11 1249 0 0
1116.36 1245 0 0
1119.62 1243 0 0
1122.87 1245 0 0
1126.13 1248 0 0
1129.38 1237 0 0
1132.63 1248 0 0
