[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-29-51_RAW_Light_795
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:29:51
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = LIGHT
Mission = 1 ; 13793 ;  ; 
[Attributes]
SpectrumType = RAW_Light
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 25.25
lampLEDs = 255
tempLampModule = 25.25
tempSpectrometer = 26.6875
tempMainCPU = 28.3125
Deviation = 13793
Maximum = 37804
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 9 0 0
306.481 1366 0 0
309.843 1366 0 0
313.205 1375 0 0
316.569 1397 0 0
319.934 1418 0 0
323.299 1424 0 0
326.665 1436 0 0
330.032 1452 0 0
333.4 1465 0 0
336.768 1475 0 0
340.137 1493 0 0
343.507 1518 0 0
346.877 1540 0 0
350.249 1550 0 0
353.621 1593 0 0
356.993 1693 0 0
360.367 2034 0 0
363.741 3713 0 0
367.115 9891 0 0
370.491 23020 0 0
373.867 35209 0 0
377.243 35674 0 0
380.621 25806 0 0
383.998 15788 0 0
387.377 9894 0 0
390.756 7736 0 0
394.135 8519 0 0
397.516 11738 0 0
400.896 17185 0 0
404.278 23493 0 0
407.659 27606 0 0
411.042 27223 0 0
414.424 23222 0 0
417.808 18459 0 0
421.192 14822 0 0
424.576 12747 0 0
427.961 12205 0 0
431.346 13148 0 0
434.731 15720 0 0
438.118 20076 0 0
441.504 25715 0 0
444.891 30782 0 0
448.278 33233 0 0
451.666 33155 0 0
455.054 33025 0 0
458.443 34812 0 0
461.832 37333 0 0
465.221 37804 0 0
468.61 35237 0 0
472 30895 0 0
475.39 26592 0 0
478.781 23026 0 0
482.172 20003 0 0
485.563 17301 0 0
488.954 15066 0 0
492.346 13525 0 0
495.738 12714 0 0
499.13 12471 0 0
502.522 12700 0 0
505.915 13280 0 0
509.308 14148 0 0
512.701 15257 0 0
516.094 16597 0 0
519.488 18093 0 0
522.881 19665 0 0
526.275 21310 0 0
529.669 23004 0 0
533.063 24660 0 0
536.457 26256 0 0
539.851 27781 0 0
543.246 29099 0 0
546.64 30244 0 0
550.035 31218 0 0
553.43 31974 0 0
556.824 32599 0 0
560.219 33079 0 0
563.614 33349 0 0
567.009 33361 0 0
570.404 33143 0 0
573.799 32609 0 0
577.194 31744 0 0
580.589 30666 0 0
583.984 29644 0 0
587.379 28597 0 0
590.773 27380 0 0
594.168 25971 0 0
597.563 24448 0 0
600.958 22917 0 0
604.352 21575 0 0
607.747 20456 0 0
611.141 19508 0 0
614.536 18668 0 0
617.93 17905 0 0
621.324 17168 0 0
624.718 16456 0 0
628.111 15769 0 0
631.505 15035 0 0
634.898 14225 0 0
638.292 13339 0 0
641.685 12401 0 0
645.078 11400 0 0
648.47 10399 0 0
651.863 9417 0 0
655.255 8539 0 0
658.647 7766 0 0
662.038 7126 0 0
665.43 6578 0 0
668.821 6081 0 0
672.211 5653 0 0
675.602 5289 0 0
678.992 4936 0 0
682.382 4628 0 0
685.772 4350 0 0
689.161 4071 0 0
692.55 3791 0 0
695.938 3532 0 0
699.326 3284 0 0
702.714 3037 0 0
706.101 2813 0 0
709.488 2618 0 0
712.875 2414 0 0
716.261 2239 0 0
719.646 2091 0 0
723.031 1957 0 0
726.416 1831 0 0
729.8 1726 0 0
733.184 1655 0 0
736.567 1574 0 0
739.95 1528 0 0
743.332 1510 0 0
746.714 1481 0 0
750.095 1457 0 0
753.476 1442 0 0
756.856 1432 0 0
760.235 1403 0 0
763.614 1394 0 0
766.993 1395 0 0
770.371 1370 0 0
773.748 1360 0 0
777.124 1360 0 0
780.5 1347 0 0
783.876 1332 0 0
787.25 1334 0 0
790.624 1337 0 0
793.997 1320 0 0
797.37 1314 0 0
800.742 1323 0 0
804.113 1309 0 0
807.484 1295 0 0
810.853 1297 0 0
814.222 1298 0 0
817.591 1288 0 0
820.958 1276 0 0
824.325 1284 0 0
827.691 1269 0 0
831.056 1267 0 0
834.421 1272 0 0
837.784 1275 0 0
841.147 1258 0 0
844.509 1260 0 0
847.87 1271 0 0
851.231 1258 0 0
854.59 1258 0 0
857.949 1266 0 0
861.306 1260 0 0
864.663 1254 0 0
868.019 1258 0 0
871.374 1265 0 0
874.728 1252 0 0
878.081 1247 0 0
881.433 1266 0 0
884.784 1254 0 0
888.135 1251 0 0
891.484 1251 0 0
894.832 1262 0 0
898.179 1251 0 0
901.526 1253 0 0
904.871 1263 0 0
908.215 1248 0 0
911.558 1251 0 0
914.9 1259 0 0
918.241 1254 0 0
921.581 1247 0 0
924.92 1248 0 0
928.258 1257 0 0
931.595 1250 0 0
934.93 1247 0 0
938.265 1253 0 0
941.598 1253 0 0
944.93 1246 0 0
948.261 1252 0 0
951.591 1252 0 0
954.92 1243 0 0
958.247 1245 0 0
961.574 1254 0 0
964.899 1252 0 0
968.223 1246 0 0
971.545 1249 0 0
974.867 1255 0 0
978.187 1245 0 0
981.506 1246 0 0
984.823 1256 0 0
988.14 1249 0 0
991.455 1248 0 0
994.768 1251 0 0
998.081 1247 0 0
1001.39 1240 0 0
1004.7 1252 0 0
1008.01 1254 0 0
1011.32 1242 0 0
1014.62 1245 0 0
1017.93 1255 0 0
1021.23 1251 0 0
1024.53 1245 0 0
1027.83 1254 0 0
1031.13 1252 0 0
1034.43 1240 0 0
1037.72 1251 0 0
1041.02 1258 0 0
1044.31 1244 0 0
1047.6 1244 0 0
1050.89 1255 0 0
1054.18 1247 0 0
1057.47 1246 0 0
1060.75 1248 0 0
1064.04 1255 0 0
1067.32 1242 0 0
1070.6 1246 0 0
1073.88 1251 0 0
1077.16 1243 0 0
1080.43 1242 0 0
1083.71 1251 0 0
1086.98 1252 0 0
1090.25 1246 0 0
1093.52 1246 0 0
1096.79 1252 0 0
1100.06 1244 0 0
1103.32 1246 0 0
1106.58 1254 0 0
1109.85 1247 0 0
1113.11 1241 0 0
1116.36 1243 0 0
1119.62 1252 0 0
1122.87 1236 0 0
1126.13 1240 0 0
1129.38 1249 0 0
1132.63 1246 0 0
1135.88 1236 0 0
1139.12 1249 0 0
1142.37 1247 0 0
1145.61 1243 0 0
1148.85 1243 0 0
1152.09 1247 0 0
1155.32 1234 0 0
1158.56 1245 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-30-12_RAW_Light_925
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:30:12
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = LIGHT
Mission = 1 ; 13854.8 ;  ; 
[Attributes]
SpectrumType = RAW_Light
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 26
lampLEDs = 255
tempLampModule = 26
tempSpectrometer = 27
tempMainCPU = 28.625
Deviation = 13854.8
Maximum = 38068
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 9 0 0
306.481 1363 0 0
309.843 1378 0 0
313.205 1386 0 0
316.569 1402 0 0
319.934 1413 0 0
323.299 1435 0 0
326.665 1436 0 0
330.032 1448 0 0
333.4 1472 0 0
336.768 1484 0 0
340.137 1495 0 0
343.507 1516 0 0
346.877 1541 0 0
350.249 1564 0 0
353.621 1592 0 0
356.993 1694 0 0
360.367 2042 0 0
363.741 3693 0 0
367.115 9798 0 0
370.491 22923 0 0
373.867 35292 0 0
377.243 35960 0 0
380.621 26127 0 0
383.998 16024 0 0
387.377 10025 0 0
390.756 7803 0 0
394.135 8562 0 0
397.516 11764 0 0
400.896 17164 0 0
404.278 23456 0 0
407.659 27631 0 0
411.042 27330 0 0
414.424 23373 0 0
417.808 18622 0 0
421.192 14968 0 0
424.576 12862 0 0
427.961 12285 0 0
431.346 13219 0 0
434.731 15751 0 0
438.118 20066 0 0
441.504 25683 0 0
444.891 30763 0 0
448.278 33269 0 0
451.666 33258 0 0
455.054 33184 0 0
458.443 34989 0 0
461.832 37530 0 0
465.221 38068 0 0
468.61 35532 0 0
472 31188 0 0
475.39 26868 0 0
478.781 23274 0 0
482.172 20207 0 0
485.563 17477 0 0
488.954 15228 0 0
492.346 13662 0 0
495.738 12819 0 0
499.13 12568 0 0
502.522 12781 0 0
505.915 13345 0 0
509.308 14222 0 0
512.701 15318 0 0
516.094 16647 0 0
519.488 18152 0 0
522.881 19733 0 0
526.275 21374 0 0
529.669 23064 0 0
533.063 24748 0 0
536.457 26342 0 0
539.851 27856 0 0
543.246 29212 0 0
546.64 30348 0 0
550.035 31328 0 0
553.43 32116 0 0
556.824 32744 0 0
560.219 33204 0 0
563.614 33486 0 0
567.009 33515 0 0
570.404 33288 0 0
573.799 32747 0 0
577.194 31886 0 0
580.589 30799 0 0
583.984 29759 0 0
587.379 28742 0 0
590.773 27506 0 0
594.168 26078 0 0
597.563 24544 0 0
600.958 23029 0 0
604.352 21654 0 0
607.747 20542 0 0
611.141 19599 0 0
614.536 18747 0 0
617.93 17972 0 0
621.324 17240 0 0
624.718 16517 0 0
628.111 15824 0 0
631.505 15094 0 0
634.898 14284 0 0
638.292 13385 0 0
641.685 12451 0 0
645.078 11460 0 0
648.47 10441 0 0
651.863 9444 0 0
655.255 8585 0 0
658.647 7808 0 0
662.038 7158 0 0
665.43 6609 0 0
668.821 6118 0 0
672.211 5680 0 0
675.602 5304 0 0
678.992 4969 0 0
682.382 4646 0 0
685.772 4358 0 0
689.161 4090 0 0
692.55 3806 0 0
695.938 3543 0 0
699.326 3304 0 0
702.714 3054 0 0
706.101 2824 0 0
709.488 2618 0 0
712.875 2435 0 0
716.261 2248 0 0
719.646 2090 0 0
723.031 1967 0 0
726.416 1837 0 0
729.8 1727 0 0
733.184 1652 0 0
736.567 1582 0 0
739.95 1534 0 0
743.332 1504 0 0
746.714 1490 0 0
750.095 1463 0 0
753.476 1436 0 0
756.856 1434 0 0
760.235 1416 0 0
763.614 1394 0 0
766.993 1385 0 0
770.371 1384 0 0
773.748 1361 0 0
777.124 1355 0 0
780.5 1360 0 0
783.876 1345 0 0
787.25 1337 0 0
790.624 1335 0 0
793.997 1334 0 0
797.37 1318 0 0
800.742 1321 0 0
804.113 1322 0 0
807.484 1299 0 0
810.853 1303 0 0
814.222 1300 0 0
817.591 1290 0 0
820.958 1274 0 0
824.325 1280 0 0
827.691 1284 0 0
831.056 1265 0 0
834.421 1265 0 0
837.784 1274 0 0
841.147 1266 0 0
844.509 1262 0 0
847.87 1268 0 0
851.231 1270 0 0
854.59 1255 0 0
857.949 1259 0 0
861.306 1269 0 0
864.663 1259 0 0
868.019 1255 0 0
871.374 1261 0 0
874.728 1260 0 0
878.081 1256 0 0
881.433 1260 0 0
884.784 1267 0 0
888.135 1252 0 0
891.484 1246 0 0
894.832 1258 0 0
898.179 1254 0 0
901.526 1254 0 0
904.871 1257 0 0
908.215 1258 0 0
911.558 1245 0 0
914.9 1248 0 0
918.241 1259 0 0
921.581 1254 0 0
924.92 1248 0 0
928.258 1261 0 0
931.595 1258 0 0
934.93 1252 0 0
938.265 1246 0 0
941.598 1259 0 0
944.93 1246 0 0
948.261 1247 0 0
951.591 1253 0 0
954.92 1253 0 0
958.247 1249 0 0
961.574 1251 0 0
964.899 1262 0 0
968.223 1243 0 0
971.545 1253 0 0
974.867 1258 0 0
978.187 1259 0 0
981.506 1250 0 0
984.823 1248 0 0
988.14 1259 0 0
991.455 1247 0 0
994.768 1248 0 0
998.081 1256 0 0
1001.39 1251 0 0
1004.7 1247 0 0
1008.01 1260 0 0
1011.32 1251 0 0
1014.62 1248 0 0
1017.93 1255 0 0
1021.23 1257 0 0
1024.53 1243 0 0
1027.83 1244 0 0
1031.13 1253 0 0
1034.43 1254 0 0
1037.72 1244 0 0
1041.02 1255 0 0
1044.31 1257 0 0
1047.6 1248 0 0
1050.89 1243 0 0
1054.18 1257 0 0
1057.47 1251 0 0
1060.75 1244 0 0
1064.04 1250 0 0
1067.32 1250 0 0
1070.6 1241 0 0
1073.88 1248 0 0
1077.16 1254 0 0
1080.43 1243 0 0
1083.71 1244 0 0
1086.98 1255 0 0
1090.25 1249 0 0
1093.52 1249 0 0
1096.79 1245 0 0
1100.06 1255 0 0
1103.32 1245 0 0
1106.58 1243 0 0
1109.85 1259 0 0
1113.11 1245 0 0
1116.36 1241 0 0
1119.62 1250 0 0
1122.87 1249 0 0
1126.13 1240 0 0
1129.38 1242 0 0
1132.63 1253 0 0
1135.88 1242 0 0
